id,fr,en,es
INTRO_TEXT_00,Le Domaine des Rêves...,The Domain of Dreams...,El Reino de los Sueños...
INTRO_TEXT_01,"Aucune porte pour y entrer, aucune clé pour y accéder.","No door to go through, no key to unlock it.","No hay puerta que cruzar, ni llave que la abra."
INTRO_TEXT_02,"Il suffit juste de se laisser tomber dans un profond sommeil...","All that's required is to fall to a deep slumber...","Lo único que se necesita es caer en un profundo letargo..."
INTRO_TEXT_03,"Un endroit paisible où dorment les mondes oubliés, coupés ainsi des autres royaumes.","A peaceful place in which forgotten worlds sleep, disconnected from other kingdoms.","Un lugar tranquilo en el que los mundos olvidados duermen, aislados de otros reinos."
INTRO_TEXT_04,"Ici, ils sont en harmonie, là où règne un équilibre parfait entre lumière et ténèbres.","Here, they are in perfect harmony, wherein reigns a perfect balance between light and darkness.","Aquí yacen en perfecta armonía bajo un equilibrio perfecto entre luz y oscuridad."
INTRO_TEXT_05,"Car contrairement au delà d'où nous venons, les gardiens des cauchemars et des esprits sont égaux.","Because unlike where we come from, the guardians of nightmares and spirits are the same.","Ya que a diferencia de donde nosotros venimos, los guardianes de las pesadillas y los espíritus son los mismos."
INTRO_TEXT_06,Une triste chose que cet équilibre ait été rompu.,How sad is it that this balance has been dismantled.,Es triste que este equilibrio haya sido perturbado.
INTRO_TEXT_07,"En ce domaine, désormais, je ne vois que les ténèbres !","Henceforth, I can only perceive darkness in this domain !","¡Ahora solo percibo oscuridad en este reino !"
INTRO_TEXT_08,"Ainsi qu'un pauvre garçon perdu, plié par la faiblesse et le remords d'avoir déverrouillé la mauvaise serrure...","Including a poor lost boy, folded by weakness and the regret of having opened the wrong keyhole...","Incluyendo a un pobre chico, dominado por la debilidad y el remordimiento de haber abierto la cerradura equivocada..."
YUUGURE_INTRO_TEXT_00,"Combien de temps vas-tu encore résister, Kiryoku ?","For how long will you still resist, Kiryoku ?","¿Cuánto más crees que aguantarás, Kiryoku ?"
